City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,mareeba,AU,81.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
174,malakal,SS,81.99,clear sky,9.5334,31.6605,Nile Palace Hotel
179,kandrian,PG,81.59,moderate rain,-6.2167,149.55,Kandrian Station
180,popondetta,PG,80.33,overcast clouds,-8.7537,148.2534,Timos Transit House
183,christchurch,NZ,79.0,clear sky,-43.5333,172.6333,The George
186,progreso,MX,68.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
189,trairi,BR,78.66,overcast clouds,-3.2778,-39.2689,janelas do mar
190,tanout,NE,64.04,overcast clouds,14.9709,8.8879,
192,sinazongwe,ZM,74.62,light rain,-17.2614,27.4618,Lakeview Lodge
193,mumford,GH,79.59,broken clouds,5.2618,-0.759,Spanish Villa
194,mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
196,barra velha,BR,69.6,broken clouds,-26.6322,-48.6847,Vila Alaide Praia Hotel
197,olinda,BR,76.73,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
201,san matias,BO,73.18,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
202,hithadhoo,MV,82.0,overcast clouds,-0.6,73.0833,Scoop Guest House
206,marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
207,prata,BR,67.68,scattered clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
210,pochutla,MX,69.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
211,marsabit,KE,68.2,light rain,2.3284,37.9899,Chicho Hotel
212,codrington,AU,60.31,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
216,rawson,AR,63.16,clear sky,-43.3002,-65.1023,Hosteria Sampedro
217,brownwood,US,64.54,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
220,san patricio,US,71.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
222,labrea,BR,76.68,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
223,labuhan,ID,89.1,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
226,puerto madryn,AR,65.21,clear sky,-42.7692,-65.0385,Hotel Tolosa
229,salalah,OM,77.18,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
231,adrar,MR,60.22,clear sky,20.5022,-10.0711,
234,russell,US,64.11,mist,32.3502,-85.1999,Macs
235,cartagena,CO,80.22,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
236,ciudad bolivar,VE,72.84,scattered clouds,8.1222,-63.5497,Hotel Edi
238,petatlan,MX,71.71,clear sky,17.5167,-101.2667,Hotel California Petatlán
239,sao joao da barra,BR,66.63,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
240,grand-santi,GF,71.65,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
241,amapa,BR,70.25,overcast clouds,1.0,-52.0,
243,puerto ayacucho,VE,75.38,clear sky,5.6639,-67.6236,Posada Turistica Manapiare
246,davila,PH,75.45,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
247,ibra,OM,77.38,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
248,ishigaki,JP,64.08,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
249,cabay,PH,77.9,broken clouds,13.8783,121.3772,Dreamland Resort Batangas
251,rio grande,BR,69.87,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
256,cockburn town,TC,78.22,clear sky,21.4612,-71.1419,Osprey Beach Hotel
259,itarema,BR,78.6,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
262,nueva gorgona,PA,82.22,few clouds,8.55,-79.8667,Coronado Luxury Club & Suites
265,quatre cocos,MU,83.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
266,natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
267,lazaro cardenas,MX,77.23,broken clouds,17.9583,-102.2,quinta antigua
270,cascais,PT,61.5,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
271,ixtapa,MX,68.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
274,tessalit,ML,60.98,clear sky,20.1986,1.0114,
276,raichur,IN,83.48,clear sky,16.2,77.3667,Hotel CM Residency
277,isangel,VU,81.14,scattered clouds,-19.55,169.2667,Tanna Lodge
280,rock sound,BS,72.37,clear sky,24.9,-76.2,Rock Sound Club
281,iquitos,PE,76.64,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
282,yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
283,moroni,KM,84.99,few clouds,-11.7022,43.2551,Hotel les Arcades
285,kidal,ML,62.19,clear sky,18.4411,1.4078,
